house_id,territory_id,living_area,geometry
123947,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1955904, 59.4827594], [34.1955882, 59.482722], [34.1957193, 59.48272], [34.1957215, 59.4827575], [34.1955904, 59.4827594]]]}"
123972,286,50,"{'type': 'Polygon', 'coordinates': [[[34.199616, 59.4842028], [34.1996621, 59.4841517], [34.1997525, 59.4841727], [34.1997064, 59.4842238], [34.199616, 59.4842028]]]}"
123974,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1954107, 59.4831393], [34.1953013, 59.4831465], [34.1952834, 59.4830766], [34.1953929, 59.4830694], [34.1954107, 59.4831393]]]}"
123981,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1988109, 59.4850327], [34.1989199, 59.4850229], [34.1989372, 59.4850726], [34.1988282, 59.4850824], [34.1988109, 59.4850327]]]}"
123987,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1962673, 59.4822026], [34.1962556, 59.4821469], [34.1963937, 59.4821395], [34.1964053, 59.4821952], [34.1962673, 59.4822026]]]}"
124037,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1956177, 59.4829425], [34.1956061, 59.4828868], [34.1957441, 59.4828794], [34.1957557, 59.4829351], [34.1956177, 59.4829425]]]}"
124042,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1988146, 59.4852127], [34.1989602, 59.4852042], [34.1989712, 59.4852526], [34.1988256, 59.4852611], [34.1988146, 59.4852127]]]}"
124059,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1952974, 59.4833159], [34.1952858, 59.4832602], [34.1954238, 59.4832527], [34.1954355, 59.4833085], [34.1952974, 59.4833159]]]}"
124083,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1963124, 59.4823882], [34.1963007, 59.4823325], [34.1964388, 59.482325], [34.1964504, 59.4823807], [34.1963124, 59.4823882]]]}"
124111,286,50,"{'type': 'Polygon', 'coordinates': [[[34.19802, 59.4862094], [34.1981301, 59.4862036], [34.1981403, 59.4862539], [34.1980301, 59.4862596], [34.19802, 59.4862094]]]}"
124121,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1956384, 59.4831435], [34.1956267, 59.4830878], [34.1957647, 59.4830804], [34.1957764, 59.4831361], [34.1956384, 59.4831435]]]}"
124140,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1983581, 59.4859502], [34.1984682, 59.4859445], [34.1984784, 59.4859948], [34.1983682, 59.4860005], [34.1983581, 59.4859502]]]}"
124148,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1953155, 59.4835175], [34.1953038, 59.4834618], [34.1954418, 59.4834543], [34.1954535, 59.48351], [34.1953155, 59.4835175]]]}"
124168,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1964477, 59.4825644], [34.1963376, 59.4825666], [34.1963327, 59.4825038], [34.1964428, 59.4825015], [34.1964477, 59.4825644]]]}"
124192,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1990809, 59.4855331], [34.1990542, 59.4855874], [34.1989481, 59.485574], [34.1988321, 59.4855593], [34.1988587, 59.485505], [34.1990809, 59.4855331]]]}"
124204,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1957731, 59.4832648], [34.1957741, 59.4833208], [34.1956354, 59.4833214], [34.1956343, 59.4832654], [34.1957731, 59.4832648]]]}"
124213,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1966245, 59.4823817], [34.1966129, 59.482326], [34.1967509, 59.4823185], [34.1967625, 59.4823742], [34.1966245, 59.4823817]]]}"
124260,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1963485, 59.482741], [34.1963368, 59.4826852], [34.1964748, 59.4826778], [34.1964865, 59.4827335], [34.1963485, 59.482741]]]}"
124289,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1957675, 59.4834273], [34.1957682, 59.4834643], [34.1958059, 59.4834641], [34.1958067, 59.4835055], [34.1956527, 59.4835062], [34.1956512, 59.4834279], [34.1957675, 59.4834273]]]}"
124307,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1984857, 59.4862502], [34.1984692, 59.4861947], [34.1985676, 59.4861871], [34.1985841, 59.4862427], [34.1984857, 59.4862502]]]}"
124316,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1966516, 59.4825397], [34.1966399, 59.482484], [34.196778, 59.4824766], [34.1967896, 59.4825323], [34.1966516, 59.4825397]]]}"
124378,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1963894, 59.4829242], [34.1963777, 59.4828685], [34.1965157, 59.4828611], [34.1965274, 59.4829168], [34.1963894, 59.4829242]]]}"
